,sitio,sum_bytes,latitud,longitud,consumed_data,normalized
63,19-02021,3747650635655,25.813732000004336,-100.37597699999039,3.7 TB,0.37973688019015955
64,19-02022,1644359244416,25.774398999992613,-100.46651099997013,1.6 TB,0.1656813213836247
65,19-02023,7350593397269,25.779166700005717,-100.58611109999616,7.4 TB,0.7464145214326937
66,19-02201,1622594309320,25.162907999998513,-99.83692999999157,1.6 TB,0.16346626674888967
67,19-02211,532895178505,25.671918000000524,-100.28350100001805,532.9 GB,0.05256572422339852
68,19-02214,2506724979954,25.67413950000855,-100.27340950001546,2.5 TB,0.25344575582437756
69,19-02215,653851383410,25.683594000001488,-100.28089499998335,653.9 GB,0.06487564387595104
70,19-02216,444034238241,25.660330999997427,-100.27689900001899,444.0 GB,0.04352219449493817
71,19-02219,3359834827812,25.732566000003807,-100.37397899998902,3.4 TB,0.34026820276028646
72,19-02221,1616583800588,25.671595999994416,-100.34276099999725,1.6 TB,0.16285456700500306
73,19-02222,2392238358217,25.721580000006703,-100.33296900000752,2.4 TB,0.24179425670548954
74,19-02227,7524959973440,25.756409000006535,-100.37772300001124,7.5 TB,0.7641601058319524
75,19-02228,3261188961007,25.673707999992406,-100.40445500000507,3.3 TB,0.33022884433812294
76,19-02229,1642401330526,25.653553000005676,-100.33914199999859,1.6 TB,0.1654820611415276
77,19-02230,1826820012445,25.66481099999629,-100.31413699998826,1.8 TB,0.18425066551891814
78,19-02231,1460240797206,25.67624500000162,-100.28866599999785,1.5 TB,0.14694327240558386
79,19-02235,1931620719192,25.684352000005553,-100.3319050000031,1.9 TB,0.19491641251883052
80,19-02236,2297259427852,25.70178699999843,-100.310625000003,2.3 TB,0.2321280886705647
81,19-02238,2866894499960,25.712574000003602,-100.36428399998113,2.9 TB,0.29010082330152354
82,19-02243,1859287036538,25.683574999998434,-100.29385000001147,1.9 TB,0.18755489003767037
83,19-02244,1094419207564,25.67375600000254,-100.32802400001188,1.1 TB,0.10971298414382054
